                                  mean       median        [0.25 - 0.75]      [0.001 - 0.999]                 units
L6S_MAP_DELTA_AVG            -0.386657    -0.333333       -5.750 - 5.111     -46.667 - 42.653                  mmHg
L6S_MAP_MAXSCORE_MAX       1299.524953   555.000000     8.333 - 1974.333    0.000 - 10014.333              mmHg·min
L6S_MAP_MINSCORE_MAX        422.329856   120.000000      0.000 - 595.000     0.000 - 4855.000              mmHg·min
L6S_DC_TWA_AVG               13.994314    14.000000      13.890 - 14.118      13.081 - 15.020                 mS/cm
L6S_DC_DELTA_AVG             -0.004521     0.000000       -0.050 - 0.017       -1.300 - 1.600                 mS/cm
L6S_Pulse_TWA_AVG            85.742743    85.021308      75.020 - 95.482     50.115 - 133.692                   bpm
L6S_Pulse_DELTA_AVG           3.380795     3.000000       -0.667 - 7.000     -32.000 - 49.000                   bpm
L6S_Pulse_MAXSCORE_MAX     1887.025066   948.000000     0.000 - 3131.000    0.000 - 12700.000               bpm·min
L6S_Pulse_MINSCORE_MAX       86.609212     0.000000        0.000 - 0.000     0.000 - 2824.551               bpm·min
L6S_DT_TWA_AVG               36.327199    36.323103      36.074 - 36.545      35.000 - 37.489                    °C
L6S_DT_DELTA_AVG              0.047142     0.000000       -0.067 - 0.150       -1.500 - 1.900                    °C
L6S_RR_TWA_AVG               19.633682    18.967078      16.767 - 21.821       9.529 - 42.651           breaths/min
L6S_RR_DELTA_AVG              0.370634     0.250000       -1.500 - 2.167     -19.000 - 22.500           breaths/min
L6S_O2Sat_TWA_AVG            97.375962    97.624081      96.346 - 98.660     89.245 - 100.000                     %
L6S_O2Sat_DELTA_AVG           0.203771     0.000000       -0.667 - 1.000     -13.000 - 12.000                     %
L6S_UF_DELTA_AVG             26.827452    25.382095      17.721 - 33.888       1.789 - 93.988                 mL/kg
L6S_UF_rate_TWA_AVG           0.141671     0.132111        0.093 - 0.179        0.012 - 0.479             mL/kg/min
L6S_UF_rate_MAXSCORE_MAX      9.322449     4.739483       0.000 - 14.405       0.000 - 85.278         mL/kg/min·min
L6S_BFR_TWA_AVG               4.477531     4.293750        3.371 - 5.354       1.225 - 11.459             mL/kg/min
L6SIDH_INC                    0.107821     0.000000        0.000 - 0.167        0.000 - 1.000                 ratio
Initial_weight               87.223241    82.200000     67.300 - 101.000     32.100 - 265.000                    kg
BMI                          30.197974    28.203125      23.486 - 34.449     11.947 - 139.160                kg/m^2
IBW                          64.545438    65.937008      55.098 - 73.181      27.028 - 91.291                    kg
Blood_volume               4939.649382  4920.324687  4205.586 - 5630.639  2476.335 - 8314.271                    mL
age_adj_comorbidity_score     4.961332     4.000000        3.000 - 7.000       0.000 - 17.000                     -
TOT_DIALYSIS                  8.728247     4.000000       2.000 - 10.000      0.000 - 158.000                     #
TOT_IDH                       1.052612     0.000000        0.000 - 1.000       0.000 - 24.000                     #
